"","Estimated.Number.of.Cells","Mean.Reads.per.Cell","Median.Genes.per.Cell","Number.of.Reads","Valid.Barcodes","Sequencing.Saturation","Q30.Bases.in.Barcode","Q30.Bases.in.RNA.Read","Q30.Bases.in.UMI","Reads.Mapped.to.Genome","Reads.Mapped.Confidently.to.Genome","Reads.Mapped.Confidently.to.Intergenic.Regions","Reads.Mapped.Confidently.to.Intronic.Regions","Reads.Mapped.Confidently.to.Exonic.Regions","Reads.Mapped.Confidently.to.Transcriptome","Reads.Mapped.Antisense.to.Gene","Fraction.Reads.in.Cells","Total.Genes.Detected","Median.UMI.Counts.per.Cell","metrics_csv","set"
"10c_k",6784,44350,1362,300868588,93.8,59.6,97.1,95.6,97,97.2,83.4,5.3,39.4,38.7,64.5,12.8,67,31625,1944,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/10c_k/outs/metrics_summary.csv","round3"
"11c_k",7752,42014,2592,325692656,94.7,42.7,97.2,95.4,97.1,97.3,90.6,5.8,52.1,32.7,68.5,15.5,78.8,32734,4950,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/11c_k/outs/metrics_summary.csv","round3"
"12c_k",6507,80781,1820,525643677,95.5,63.4,96.9,95,96.8,96.6,79.8,6.9,38.3,34.6,48.2,24.1,37.8,31744,2743,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/12c_k/outs/metrics_summary.csv","round4"
"13c_k",5550,97530,2003,541289607,95.9,54.6,96.9,95.1,96.8,97,81.8,6,42.3,33.5,56.1,19.1,59.7,32295,3420,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/13c_k/outs/metrics_summary.csv","round4"
"14c_k",7365,69842,1449,514383481,96.6,71.3,97,94.6,96.9,96.6,81.6,6.7,41.9,33,56.7,17.5,46,31734,2109,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/14c_k/outs/metrics_summary.csv","round4"
"15c_k",7848,67244,1634,527733392,96.4,49.6,97,95,96.9,96.9,87.6,6.2,52.7,28.6,52.6,28,65.5,32908,2419,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/15c_k/outs/metrics_summary.csv","round4"
"16c_k",7314,38062,3347,278386373,97.2,21.7,97.1,95.4,97,97,86.6,6.1,47.4,33,60.5,19.1,70.3,32646,6886,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/16c_k/outs/metrics_summary.csv","round5"
"17c_k",5870,89083,3300,522919844,97.4,39.9,96.9,95.1,96.9,97.1,82.1,5.9,48.7,27.5,63.9,11.4,72.9,32967,7846,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/17c_k/outs/metrics_summary.csv","round5"
"18c_k",7019,60946,1959,427782069,97.4,43,96.9,95,96.9,97.2,82.7,6,46,30.6,64.7,11.2,80,32623,3334,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/18c_k/outs/metrics_summary.csv","round5"
"1c-k",4158,47424,4458,197188956,94.6,38.9,96.8,93.8,96.9,91,84.7,6.1,55.4,23.2,68.3,9.5,81.3,31169,13246,"/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/DLPFC_snRNAseq/processed-data/cellranger/1c-k/outs/metrics_summary.csv","round1"
